,districtcode,schoolyear,districtname,8th_math_percentmet,attendance,teacher_min_effective_percentage,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),fundbalanceas%ofexpenditure,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months"
94,18010,2020-2021,Clare Public Schools,39.3,94.10,0.0,50750,33.8,296
95,18060,2015-2016,Harrison Community Schools,23.9,94.45,0.0,32328,13.27,1291
96,18060,2016-2017,Harrison Community Schools,20.0,94.36,2.53,32328,15.15,1291
97,18060,2017-2018,Harrison Community Schools,14.6,93.85,2.41,32328,16.9,1291
98,18060,2018-2019,Harrison Community Schools,19.8,92.87,1.18,32328,18.82,1291
99,18060,2020-2021,Harrison Community Schools,22.0,91.23,0.0,32328,26.13,1291
100,19010,2015-2016,DeWitt Public Schools,48.7,96.96,0.0,91932,9.44,176
101,19010,2016-2017,DeWitt Public Schools,47.6,96.20,0.0,91932,10.26,176
102,19010,2017-2018,DeWitt Public Schools,47.0,95.54,0.0,91932,11.18,176
103,19010,2018-2019,DeWitt Public Schools,59.4,95.31,0.0,91932,12.24,176
104,19010,2020-2021,DeWitt Public Schools,64.6,95.94,0.0,91932,15.67,176
105,19070,2015-2016,Fowler Public Schools,56.1,97.45,0.0,65156,12.05,83
106,19070,2016-2017,Fowler Public Schools,48.5,96.89,0.0,65156,14.37,83
107,19070,2017-2018,Fowler Public Schools,30.2,96.42,0.0,65156,15.56,83
108,19070,2018-2019,Fowler Public Schools,53.1,95.96,0.0,65156,16.24,83
109,19070,2020-2021,Fowler Public Schools,58.8,95.34,0.0,65156,17.82,83
110,19100,2015-2016,Bath Community Schools,20.8,95.25,0.0,66289,13.99,160
111,19100,2016-2017,Bath Community Schools,24.1,94.96,1.47,66289,11.9,160
112,19100,2017-2018,Bath Community Schools,36.7,93.99,1.33,66289,13.84,160
113,19100,2018-2019,Bath Community Schools,36.6,93.75,1.49,66289,13.71,160
114,19100,2020-2021,Bath Community Schools,26.5,94.77,0.0,66289,12.85,160
115,19120,2015-2016,Ovid-Elsie Area Schools,38.1,95.64,1.15,54323,20.91,499
116,19120,2016-2017,Ovid-Elsie Area Schools,45.5,94.47,0.0,54323,23.91,499
117,19120,2017-2018,Ovid-Elsie Area Schools,50.0,93.51,0.0,54323,24.52,499
118,19120,2018-2019,Ovid-Elsie Area Schools,55.6,93.33,1.05,54323,25.33,499
119,19120,2020-2021,Ovid-Elsie Area Schools,40.0,96.25,0.0,54323,31.7,499
120,19140,2015-2016,St. Johns Public Schools,22.0,96.41,0.0,63232,13.36,658
121,19140,2016-2017,St. Johns Public Schools,46.2,96.68,0.0,63232,15.89,658
122,19140,2017-2018,St. Johns Public Schools,50.7,95.53,1.23,63232,15.05,658
123,19140,2018-2019,St. Johns Public Schools,53.4,95.49,0.0,63232,16.43,658
124,19140,2020-2021,St. Johns Public Schools,33.0,96.35,0.0,63232,22.11,658
125,20015,2015-2016,Crawford AuSable Schools,51.4,95.61,2.78,47941,23.83,702
126,20015,2016-2017,Crawford AuSable Schools,46.9,95.05,0.89,47941,26.24,702
127,20015,2017-2018,Crawford AuSable Schools,54.8,94.71,0.0,47941,27.4,702
128,20015,2018-2019,Crawford AuSable Schools,55.6,94.41,2.63,47941,30.27,702
129,20015,2020-2021,Crawford AuSable Schools,61.1,95.00,0.0,47941,33.97,702
130,2070,2015-2016,Munising Public Schools,24.5,95.61,0.0,42500,14.39,224
131,2070,2016-2017,Munising Public Schools,15.4,95.49,0.0,42500,14.94,224
132,2070,2017-2018,Munising Public Schools,24.5,92.25,0.0,42500,15.84,224
133,2070,2018-2019,Munising Public Schools,29.5,91.08,0.0,42500,16.61,224
134,2070,2020-2021,Munising Public Schools,29.5,88.37,0.0,42500,19.7,224
135,21025,2015-2016,Gladstone Area Schools,18.1,96.22,0.0,55495,5.76,500
136,21025,2016-2017,Gladstone Area Schools,33.6,95.99,0.0,55495,6.24,500
137,21025,2017-2018,Gladstone Area Schools,35.2,94.75,1.08,55495,6.88,500
138,21025,2018-2019,Gladstone Area Schools,45.7,95.47,0.0,55495,4.98,500
