,districtcode,schoolyear,districtname,8th_math_percentmet,english_language_learners_enrollment,attendance,english_language_learners_enrollment,admin_min_effective_percentage,teacher_min_effective_percentage,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Estimate Total Bachelor's degree,Estimate Total Master's degree,fundbalanceas%ofexpenditure,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months"
487,41110,2017-2018,Forest Hills Public Schools,64.06666666666666,454,95.82,454,0.0,0.56,104785,12545,6055,15.45,398
488,41110,2018-2019,Forest Hills Public Schools,71.8,430,95.91,430,0.0,0.5,104785,12545,6055,17.23,398
489,41110,2020-2021,Forest Hills Public Schools,70.66666666666667,344,98.29,344,0.0,0.0,104785,12545,6055,19.17,398
490,41120,2015-2016,Godfrey-Lee Public Schools,10.9,902,93.83,902,0.0,0.0,47120,376,92,13.3,1103
491,41120,2016-2017,Godfrey-Lee Public Schools,18.2,927,93.37,927,0.0,0.7,47120,376,92,11.92,1103
492,41120,2017-2018,Godfrey-Lee Public Schools,22.4,932,93.46,932,0.0,0.0,47120,376,92,11.62,1103
493,41120,2018-2019,Godfrey-Lee Public Schools,7.6,883,93.67,883,0.0,0.75,47120,376,92,15.75,1103
494,41120,2020-2021,Godfrey-Lee Public Schools,7.7,889,96.81,889,0.0,0.0,47120,376,92,36.11,1103
495,41130,2015-2016,Grandville Public Schools,38.4,134,96.53,134,0.0,0.0,64847,5619,2141,6.51,1732
496,41130,2016-2017,Grandville Public Schools,40.3,156,96.08,156,0.0,0.0,64847,5619,2141,6.98,1732
497,41130,2017-2018,Grandville Public Schools,42.1,184,95.30,184,0.0,0.0,64847,5619,2141,8.74,1732
498,41130,2018-2019,Grandville Public Schools,54.9,181,95.42,181,0.0,1.03,64847,5619,2141,10.94,1732
499,41130,2020-2021,Grandville Public Schools,50.5,157,91.92,157,0.0,0.4,64847,5619,2141,11.14,1732
500,41140,2015-2016,Kelloggsville Public Schools,15.5,508,93.75,508,0.0,2.22,43877,1103,252,13.08,1261
501,41140,2016-2017,Kelloggsville Public Schools,14.9,570,93.37,570,0.0,0.7,43877,1103,252,17.26,1261
502,41140,2017-2018,Kelloggsville Public Schools,11.7,584,91.82,584,0.0,1.99,43877,1103,252,22.63,1261
503,41140,2018-2019,Kelloggsville Public Schools,17.9,659,92.79,659,0.0,3.13,43877,1103,252,22.3,1261
504,41140,2020-2021,Kelloggsville Public Schools,6.3,637,91.07,637,0.0,0.71,43877,1103,252,25.18,1261
505,41145,2015-2016,Kenowa Hills Public Schools,26.2,212,95.83,212,0.0,0.55,64170,3933,1169,13.45,881
506,41145,2016-2017,Kenowa Hills Public Schools,19.4,226,95.58,226,0.0,1.11,64170,3933,1169,9.67,881
507,41145,2017-2018,Kenowa Hills Public Schools,22.2,169,94.85,169,0.0,0.0,64170,3933,1169,10.4,881
508,41145,2018-2019,Kenowa Hills Public Schools,30.0,172,95.14,172,0.0,1.5,64170,3933,1169,10.66,881
509,41145,2020-2021,Kenowa Hills Public Schools,23.7,213,96.56,213,0.0,0.0,64170,3933,1169,11.4,881
510,41150,2015-2016,Kent City Community Schools,24.1,209,95.59,209,0.0,0.0,68870,645,153,3.13,661
511,41150,2016-2017,Kent City Community Schools,23.2,190,95.04,190,0.0,0.0,68870,645,153,3.43,661
512,41150,2017-2018,Kent City Community Schools,36.1,193,94.55,193,0.0,0.94,68870,645,153,3.19,661
513,41150,2018-2019,Kent City Community Schools,45.7,187,93.96,187,0.0,0.0,68870,645,153,3.07,661
514,41150,2020-2021,Kent City Community Schools,24.7,146,97.91,146,0.0,0.0,68870,645,153,15.52,661
515,41160,2015-2016,Kentwood Public Schools,28.266666666666666,1596,95.04,1596,0.0,1.44,54842,9390,3280,7.48,4382
516,41160,2016-2017,Kentwood Public Schools,27.133333333333336,1821,94.80,1821,0.0,0.0,54842,9390,3280,9.6,4382
517,41160,2017-2018,Kentwood Public Schools,22.8,1903,93.96,1903,0.0,1.29,54842,9390,3280,10.91,4382
518,41160,2018-2019,Kentwood Public Schools,28.0,2048,94.06,2048,0.0,1.24,54842,9390,3280,12.27,4382
519,41160,2020-2021,Kentwood Public Schools,25.266666666666666,2030,95.45,2030,0.0,0.17,54842,9390,3280,14.53,4382
520,41170,2015-2016,Lowell Area Schools,52.1,45,96.08,45,0.0,0.92,79358,3381,1116,11.49,359
521,41170,2016-2017,Lowell Area Schools,57.0,41,95.80,41,0.0,0.9,79358,3381,1116,13.9,359
522,41170,2017-2018,Lowell Area Schools,53.7,44,95.10,44,0.0,0.0,79358,3381,1116,15.63,359
523,41170,2018-2019,Lowell Area Schools,61.0,41,95.29,41,0.0,0.0,79358,3381,1116,15.88,359
524,41170,2020-2021,Lowell Area Schools,50.0,20,99.08,20,0.0,0.0,79358,3381,1116,16.89,359
525,41210,2015-2016,Rockford Public Schools,60.8,14,96.25,14,0.0,0.42,90339,8687,3777,3.59,841
526,41210,2016-2017,Rockford Public Schools,62.75,13,96.10,13,0.0,0.21,90339,8687,3777,4.21,841
527,41210,2017-2018,Rockford Public Schools,49.45,13,95.64,13,4.0,0.41,90339,8687,3777,5.8,841
528,41210,2018-2019,Rockford Public Schools,66.5,23,95.59,23,0.0,0.21,90339,8687,3777,7.63,841
529,41210,2020-2021,Rockford Public Schools,59.400000000000006,43,93.09,43,0.0,0.0,90339,8687,3777,10.43,841
530,41240,2015-2016,Sparta Area Schools,39.4,263,93.06,263,0.0,3.47,62308,1526,508,11.22,533
531,41240,2016-2017,Sparta Area Schools,38.3,246,93.07,246,0.0,0.72,62308,1526,508,10.27,533
532,41240,2017-2018,Sparta Area Schools,35.4,216,95.82,216,0.0,1.48,62308,1526,508,13.75,533
533,41240,2018-2019,Sparta Area Schools,46.1,195,96.05,195,0.0,2.9,62308,1526,508,15.25,533
534,41240,2020-2021,Sparta Area Schools,29.0,179,96.73,179,0.0,0.0,62308,1526,508,23.48,533
535,44020,2015-2016,Almont Community Schools,55.0,65,95.88,65,0.0,1.28,68462,846,468,7.16,240
536,44020,2016-2017,Almont Community Schools,54.5,49,95.94,49,0.0,0.0,68462,846,468,6.25,240
537,44020,2017-2018,Almont Community Schools,53.0,50,94.64,50,0.0,0.0,68462,846,468,6.67,240
538,44020,2018-2019,Almont Community Schools,63.4,40,94.67,40,0.0,0.83,68462,846,468,10.59,240
539,44020,2020-2021,Almont Community Schools,56.6,28,89.84,28,0.0,0.0,68462,846,468,14.62,240
540,44060,2015-2016,Imlay City Community Schools,24.3,256,95.07,256,0.0,0.0,54502,792,241,14.4,876
541,44060,2016-2017,Imlay City Community Schools,22.9,268,96.02,268,0.0,0.0,54502,792,241,20.13,876
542,44060,2017-2018,Imlay City Community Schools,28.1,275,93.26,275,0.0,0.0,54502,792,241,19.07,876
543,44060,2018-2019,Imlay City Community Schools,40.3,289,93.50,289,0.0,0.0,54502,792,241,17.75,876
544,44060,2020-2021,Imlay City Community Schools,41.3,269,91.41,269,0.0,0.0,54502,792,241,29.49,876
545,44090,2015-2016,North Branch Area Schools,36.2,5,94.65,5,0.0,0.0,59913,817,397,9.09,578
546,44090,2016-2017,North Branch Area Schools,43.7,5,94.16,5,0.0,0.0,59913,817,397,11.94,578
547,44090,2017-2018,North Branch Area Schools,45.9,5,94.16,5,0.0,1.39,59913,817,397,13.49,578
548,44090,2018-2019,North Branch Area Schools,51.5,5,93.81,5,0.0,0.0,59913,817,397,15.2,578
549,44090,2020-2021,North Branch Area Schools,43.3,5,93.24,5,0.0,0.0,59913,817,397,25.15,578
550,46020,2015-2016,Addison Community Schools,31.4,5,96.55,5,0.0,0.0,57719,1122,317,7.44,199
551,46020,2016-2017,Addison Community Schools,18.9,5,95.54,5,0.0,0.0,57719,1122,317,9.72,199
552,46020,2017-2018,Addison Community Schools,34.4,5,95.01,5,0.0,0.0,57719,1122,317,9.34,199
553,46020,2018-2019,Addison Community Schools,40.0,5,95.38,5,0.0,0.0,57719,1122,317,8.75,199
554,46020,2020-2021,Addison Community Schools,24.5,5,97.49,5,0.0,0.0,57719,1122,317,12.73,199
555,46040,2015-2016,Blissfield Community Schools,59.6,5,96.39,5,0.0,0.0,54087,729,269,34.62,302
556,46040,2016-2017,Blissfield Community Schools,47.2,5,95.85,5,0.0,0.0,54087,729,269,35.43,302
557,46040,2017-2018,Blissfield Community Schools,56.0,5,94.82,5,0.0,0.0,54087,729,269,38.32,302
558,46040,2018-2019,Blissfield Community Schools,37.1,5,94.58,5,0.0,0.0,54087,729,269,38.73,302
559,46040,2020-2021,Blissfield Community Schools,34.1,11,98.80,11,0.0,0.0,54087,729,269,36.85,302
560,46060,2015-2016,Clinton Community Schools,38.4,5,96.29,5,0.0,0.0,66159,769,332,20.35,249
561,46060,2016-2017,Clinton Community Schools,28.6,5,95.53,5,0.0,7.46,66159,769,332,21.88,249
562,46060,2017-2018,Clinton Community Schools,23.9,5,95.16,5,0.0,0.0,66159,769,332,28.77,249
563,46060,2018-2019,Clinton Community Schools,38.7,5,95.46,5,0.0,4.44,66159,769,332,34.56,249
564,46060,2020-2021,Clinton Community Schools,40.3,5,94.65,5,0.0,0.0,66159,769,332,41.65,249
565,46100,2015-2016,Morenci Area Schools,46.3,5,96.48,5,0.0,2.38,43387,231,57,8.11,278
566,46100,2016-2017,Morenci Area Schools,20.5,5,95.51,5,0.0,11.63,43387,231,57,11.49,278
567,46100,2017-2018,Morenci Area Schools,38.2,5,94.96,5,0.0,8.89,43387,231,57,11.45,278
568,46100,2018-2019,Morenci Area Schools,40.8,5,94.00,5,0.0,4.55,43387,231,57,14.81,278
569,46100,2020-2021,Morenci Area Schools,34.2,5,97.90,5,0.0,4.76,43387,231,57,20.33,278
570,46110,2015-2016,Onsted Community Schools,27.8,17,96.97,17,0.0,3.66,66667,1116,376,15.16,319
571,46110,2016-2017,Onsted Community Schools,28.6,22,96.34,22,0.0,7.41,66667,1116,376,15.38,319
572,46110,2017-2018,Onsted Community Schools,18.5,16,96.58,16,0.0,1.3,66667,1116,376,13.63,319
573,46110,2018-2019,Onsted Community Schools,31.4,13,98.70,13,0.0,1.27,66667,1116,376,16.28,319
574,46110,2020-2021,Onsted Community Schools,21.6,14,91.22,14,0.0,0.0,66667,1116,376,20.37,319
575,47010,2015-2016,Brighton Area Schools,48.6,55,96.15,55,0.0,0.0,90992,7958,3593,3.8,703
576,47010,2016-2017,Brighton Area Schools,55.0,56,95.76,56,0.0,0.0,90992,7958,3593,5.29,703
577,47010,2017-2018,Brighton Area Schools,52.1,59,95.51,59,0.0,0.13,90992,7958,3593,7.04,703
578,47010,2018-2019,Brighton Area Schools,62.8,54,95.44,54,0.0,0.12,90992,7958,3593,10.96,703
579,47010,2020-2021,Brighton Area Schools,59.3,53,99.47,53,0.0,0.0,90992,7958,3593,11.13,703
580,47070,2015-2016,Howell Public Schools,38.65,70,95.63,70,0.0,0.0,73190,8057,3078,14.35,1654
581,47070,2016-2017,Howell Public Schools,32.95,73,95.42,73,4.17,3.72,73190,8057,3078,15.27,1654
582,47070,2017-2018,Howell Public Schools,27.85,93,95.37,93,0.0,3.81,73190,8057,3078,17.4,1654
583,47070,2018-2019,Howell Public Schools,48.15,99,94.19,99,4.76,2.3,73190,8057,3078,18.78,1654
584,47070,2020-2021,Howell Public Schools,38.3,83,91.68,83,0.0,0.21,73190,8057,3078,20.71,1654
585,49010,2015-2016,St. Ignace Area Schools,54.2,5,94.61,5,0.0,0.0,43320,289,145,17.13,281
586,49010,2016-2017,St. Ignace Area Schools,58.5,5,95.35,5,0.0,5.41,43320,289,145,16.13,281
587,49010,2017-2018,St. Ignace Area Schools,37.8,5,90.82,5,0.0,0.0,43320,289,145,16.56,281
588,49010,2018-2019,St. Ignace Area Schools,43.2,5,94.87,5,0.0,0.0,43320,289,145,17.07,281
589,49010,2020-2021,St. Ignace Area Schools,53.3,5,93.74,5,0.0,0.0,43320,289,145,28.45,281
590,50010,2015-2016,Center Line Public Schools,15.7,323,94.04,323,0.0,2.44,46003,1518,421,4.83,1736
591,50010,2016-2017,Center Line Public Schools,8.3,314,93.59,314,0.0,0.0,46003,1518,421,6.32,1736
592,50010,2017-2018,Center Line Public Schools,19.5,333,92.45,333,0.0,0.0,46003,1518,421,7.02,1736
593,50010,2018-2019,Center Line Public Schools,18.6,306,91.52,306,0.0,1.21,46003,1518,421,6.66,1736
594,50010,2020-2021,Center Line Public Schools,12.9,301,96.00,301,0.0,0.0,46003,1518,421,16.1,1736
595,50030,2015-2016,Roseville Community Schools,17.65,100,92.73,100,0.0,4.11,44156,2771,907,9.67,3686
596,50030,2016-2017,Roseville Community Schools,15.5,122,92.71,122,0.0,2.98,44156,2771,907,10.09,3686
597,50030,2017-2018,Roseville Community Schools,15.1,128,90.01,128,0.0,0.64,44156,2771,907,7.1,3686
598,50030,2018-2019,Roseville Community Schools,17.05,127,89.88,127,0.0,2.57,44156,2771,907,7.5,3686
599,50030,2020-2021,Roseville Community Schools,11.7,107,89.73,107,0.0,0.36,44156,2771,907,19.32,3686
600,50040,2015-2016,Anchor Bay School District,46.65,90,95.40,90,0.0,2.83,76075,4099,1982,11.46,977
601,50040,2016-2017,Anchor Bay School District,36.65,95,95.07,95,0.0,0.32,76075,4099,1982,9.63,977
602,50040,2017-2018,Anchor Bay School District,34.4,104,95.02,104,0.0,0.3,76075,4099,1982,9.61,977
603,50040,2018-2019,Anchor Bay School District,53.05,117,94.74,117,0.0,0.0,76075,4099,1982,8.05,977
604,50040,2020-2021,Anchor Bay School District,40.45,78,99.42,78,0.0,0.0,76075,4099,1982,4.67,977
605,50050,2015-2016,Armada Area Schools,45.1,10,96.39,10,0.0,0.85,71433,786,319,2.23,144
606,50050,2016-2017,Armada Area Schools,47.1,5,96.55,5,8.33,3.88,71433,786,319,6.2,144
607,50050,2017-2018,Armada Area Schools,37.8,5,95.06,5,11.11,1.79,71433,786,319,10.43,144
608,50050,2018-2019,Armada Area Schools,39.1,11,94.50,11,0.0,0.95,71433,786,319,9.3,144
609,50050,2020-2021,Armada Area Schools,53.7,5,93.75,5,0.0,0.0,71433,786,319,10.42,144
610,50070,2015-2016,Clintondale Community Schools,19.6,46,88.82,46,0.0,0.73,47165,941,286,5.43,1572
611,50070,2016-2017,Clintondale Community Schools,25.0,47,85.99,47,0.0,0.0,47165,941,286,6.85,1572
612,50070,2017-2018,Clintondale Community Schools,25.8,43,71.99,43,0.0,0.0,47165,941,286,6.37,1572
613,50070,2018-2019,Clintondale Community Schools,12.9,141,84.89,141,0.0,0.0,47165,941,286,3.42,1572
614,50070,2020-2021,Clintondale Community Schools,14.6,144,79.17,144,0.0,0.63,47165,941,286,12.74,1572
615,50080,2015-2016,Chippewa Valley Schools,41.349999999999994,1184,95.54,1184,0.0,0.0,73345,14608,6086,17.65,2649
616,50080,2016-2017,Chippewa Valley Schools,42.375,1148,95.21,1148,0.0,0.0,73345,14608,6086,17.85,2649
617,50080,2017-2018,Chippewa Valley Schools,42.625,1222,94.85,1222,0.0,0.0,73345,14608,6086,18.59,2649
618,50080,2018-2019,Chippewa Valley Schools,49.075,1158,94.80,1158,0.0,0.12,73345,14608,6086,18.93,2649
619,50080,2020-2021,Chippewa Valley Schools,36.875,981,99.46,981,0.0,0.0,73345,14608,6086,19.23,2649
620,50090,2015-2016,Fitzgerald Public Schools,14.2,409,93.48,409,0.0,1.36,38050,1027,464,4.15,2368
621,50090,2016-2017,Fitzgerald Public Schools,13.2,407,92.72,407,0.0,1.24,38050,1027,464,4.25,2368
622,50090,2017-2018,Fitzgerald Public Schools,11.5,437,90.83,437,0.0,0.52,38050,1027,464,1.69,2368
623,50090,2018-2019,Fitzgerald Public Schools,20.0,429,90.90,429,0.0,0.0,38050,1027,464,4.89,2368
624,50090,2020-2021,Fitzgerald Public Schools,11.4,415,98.57,415,0.0,0.4,38050,1027,464,11.23,2368
625,50100,2015-2016,Fraser Public Schools,27.3,155,96.27,155,0.0,0.94,54001,2794,1230,12.11,956
626,50100,2016-2017,Fraser Public Schools,25.8,159,94.63,159,0.0,0.92,54001,2794,1230,13.99,956
627,50100,2017-2018,Fraser Public Schools,30.5,133,94.00,133,0.0,0.93,54001,2794,1230,13.27,956
628,50100,2018-2019,Fraser Public Schools,43.8,128,93.65,128,0.0,2.24,54001,2794,1230,11.99,956
629,50100,2020-2021,Fraser Public Schools,28.3,117,90.92,117,0.0,0.0,54001,2794,1230,10.97,956
630,50140,2015-2016,L'Anse Creuse Public Schools,32.375,251,94.50,251,0.0,0.0,65563,7427,3028,5.88,3320
631,50140,2016-2017,L'Anse Creuse Public Schools,37.05,222,93.53,222,0.0,0.0,65563,7427,3028,5.7,3320
632,50140,2017-2018,L'Anse Creuse Public Schools,39.275,243,94.02,243,0.0,0.0,65563,7427,3028,4.35,3320
633,50140,2018-2019,L'Anse Creuse Public Schools,42.925,239,92.79,239,0.0,0.49,65563,7427,3028,4.55,3320
634,50140,2020-2021,L'Anse Creuse Public Schools,33.975,234,95.10,234,0.0,0.0,65563,7427,3028,10.52,3320
635,50160,2015-2016,Mount Clemens Community School District,5.0,16,92.18,16,0.0,5.97,43511,1787,617,-14.58,2072
636,50160,2016-2017,Mount Clemens Community School District,5.0,26,91.58,26,0.0,7.69,43511,1787,617,-5.55,2072
637,50160,2017-2018,Mount Clemens Community School District,5.0,23,89.77,23,0.0,9.23,43511,1787,617,-0.98,2072
638,50160,2018-2019,Mount Clemens Community School District,5.0,21,89.74,21,0.0,0.0,43511,1787,617,6.24,2072
639,50160,2020-2021,Mount Clemens Community School District,8.1,18,73.56,18,0.0,0.0,43511,1787,617,8.47,2072
640,50170,2015-2016,New Haven Community Schools,22.3,54,94.99,54,0.0,7.89,70667,1646,827,-0.55,629
641,50170,2016-2017,New Haven Community Schools,18.5,56,93.91,56,0.0,12.16,70667,1646,827,0.19,629
642,50170,2017-2018,New Haven Community Schools,8.0,46,92.98,46,0.0,6.85,70667,1646,827,0.24,629
643,50170,2018-2019,New Haven Community Schools,30.1,61,93.42,61,0.0,3.61,70667,1646,827,1.67,629
644,50170,2020-2021,New Haven Community Schools,17.9,54,93.53,54,0.0,0.0,70667,1646,827,8.16,629
645,50180,2015-2016,Richmond Community Schools,38.7,36,97.16,36,0.0,4.76,69708,1154,293,7.65,475
646,50180,2016-2017,Richmond Community Schools,35.1,46,96.63,46,0.0,2.47,69708,1154,293,6.33,475
647,50180,2017-2018,Richmond Community Schools,19.6,45,94.98,45,0.0,0.0,69708,1154,293,5.68,475
648,50180,2018-2019,Richmond Community Schools,31.1,51,93.93,51,0.0,0.0,69708,1154,293,5.97,475
649,50180,2020-2021,Richmond Community Schools,33.6,58,94.85,58,0.0,0.0,69708,1154,293,7.92,475
650,50190,2015-2016,Romeo Community Schools,32.4,385,95.22,385,5.26,1.01,86409,5018,2877,7.2,856
651,50190,2016-2017,Romeo Community Schools,32.8,370,94.71,370,0.0,0.33,86409,5018,2877,9.31,856
652,50190,2017-2018,Romeo Community Schools,39.2,339,94.29,339,0.0,0.0,86409,5018,2877,10.14,856
653,50190,2018-2019,Romeo Community Schools,49.45,327,94.42,327,0.0,0.0,86409,5018,2877,11.69,856
654,50190,2020-2021,Romeo Community Schools,44.1,292,94.95,292,0.0,0.0,86409,5018,2877,13.31,856
655,50200,2015-2016,South Lake Schools,18.1,24,94.42,24,0.0,2.33,56250,2959,1224,-6.4,828
656,50200,2016-2017,South Lake Schools,13.8,25,93.88,25,0.0,1.59,56250,2959,1224,-6.66,828
657,50200,2017-2018,South Lake Schools,10.2,18,91.97,18,0.0,0.0,56250,2959,1224,-6.62,828
658,50200,2018-2019,South Lake Schools,14.5,19,92.38,19,0.0,0.0,56250,2959,1224,-8.78,828
659,50200,2020-2021,South Lake Schools,8.8,30,91.59,30,0.0,0.0,56250,2959,1224,1.19,828
660,50220,2015-2016,Van Dyke Public Schools,10.6,98,91.98,98,0.0,12.5,33412,795,108,11.57,3021
661,50220,2016-2017,Van Dyke Public Schools,7.8,80,94.36,80,0.0,2.92,33412,795,108,13.62,3021
662,50220,2017-2018,Van Dyke Public Schools,5.6,84,89.67,84,5.26,2.44,33412,795,108,12.54,3021
663,50220,2018-2019,Van Dyke Public Schools,9.2,70,89.62,70,0.0,0.64,33412,795,108,17.29,3021
664,50220,2020-2021,Van Dyke Public Schools,6.3,67,94.12,67,0.0,0.0,33412,795,108,22.92,3021
665,50230,2015-2016,Warren Consolidated Schools,36.42,3611,96.02,3611,2.13,0.0,56972,15051,5892,3.7,7382
666,50230,2016-2017,Warren Consolidated Schools,33.760000000000005,3897,96.04,3897,0.0,0.0,56972,15051,5892,6.06,7382
667,50230,2017-2018,Warren Consolidated Schools,33.54,4147,93.99,4147,0.0,0.13,56972,15051,5892,5.13,7382
668,50230,2018-2019,Warren Consolidated Schools,42.620000000000005,3839,91.97,3839,2.04,0.13,56972,15051,5892,6.32,7382
669,50230,2020-2021,Warren Consolidated Schools,27.82,3220,95.76,3220,0.0,0.0,56972,15051,5892,7.76,7382
670,50240,2015-2016,Warren Woods Public Schools,21.0,265,93.71,265,0.0,1.04,52737,2164,756,26.0,1041
671,50240,2016-2017,Warren Woods Public Schools,25.2,315,93.63,315,0.0,1.02,52737,2164,756,27.13,1041
672,50240,2017-2018,Warren Woods Public Schools,22.5,329,92.54,329,7.69,2.67,52737,2164,756,27.18,1041
673,50240,2018-2019,Warren Woods Public Schools,39.0,324,92.16,324,7.69,3.83,52737,2164,756,27.77,1041
674,50240,2020-2021,Warren Woods Public Schools,22.8,281,94.01,281,0.0,0.0,52737,2164,756,29.05,1041
675,5040,2015-2016,Bellaire Public Schools,50.0,5,95.08,5,0.0,0.0,51886,656,252,20.49,97
676,5040,2016-2017,Bellaire Public Schools,52.2,5,95.18,5,0.0,0.0,51886,656,252,27.7,97
677,5040,2017-2018,Bellaire Public Schools,47.1,5,93.57,5,0.0,0.0,51886,656,252,34.25,97
678,5040,2018-2019,Bellaire Public Schools,63.6,5,93.30,5,0.0,0.0,51886,656,252,38.31,97
679,5040,2020-2021,Bellaire Public Schools,38.1,5,92.97,5,0.0,2.08,51886,656,252,39.29,97
680,5060,2015-2016,Elk Rapids Schools,47.4,28,95.99,28,0.0,0.0,70410,1685,903,8.94,369
681,5060,2016-2017,Elk Rapids Schools,46.3,51,96.23,51,0.0,0.0,70410,1685,903,8.89,369
682,5060,2017-2018,Elk Rapids Schools,42.9,52,95.25,52,0.0,1.35,70410,1685,903,9.12,369
683,5060,2018-2019,Elk Rapids Schools,58.2,43,94.24,43,0.0,0.0,70410,1685,903,7.89,369
684,5060,2020-2021,Elk Rapids Schools,52.2,24,94.24,24,0.0,0.0,70410,1685,903,11.45,369
685,5070,2015-2016,Mancelona Public Schools,21.5,5,95.24,5,0.0,6.45,43320,433,233,19.9,476
686,5070,2016-2017,Mancelona Public Schools,32.2,5,94.91,5,0.0,3.23,43320,433,233,20.54,476
687,5070,2017-2018,Mancelona Public Schools,31.8,5,93.03,5,0.0,3.39,43320,433,233,21.31,476
688,5070,2018-2019,Mancelona Public Schools,44.4,5,93.70,5,0.0,1.59,43320,433,233,22.46,476
689,5070,2020-2021,Mancelona Public Schools,54.7,5,91.40,5,0.0,3.7,43320,433,233,28.35,476
690,51045,2015-2016,Kaleva Norman Dickson School District,25.0,5,93.18,5,0.0,2.7,42192,341,115,32.27,192
691,51045,2016-2017,Kaleva Norman Dickson School District,31.3,11,92.36,11,0.0,0.0,42192,341,115,27.55,192
692,51045,2017-2018,Kaleva Norman Dickson School District,10.0,5,83.31,5,0.0,4.65,42192,341,115,25.87,192
693,51045,2018-2019,Kaleva Norman Dickson School District,26.7,5,92.59,5,0.0,0.0,42192,341,115,27.05,192
694,51045,2020-2021,Kaleva Norman Dickson School District,33.3,5,90.48,5,0.0,0.0,42192,341,115,34.61,192
695,52040,2015-2016,Gwinn Area Community Schools,2.5,5,92.37,5,33.33,0.0,52485,1125,516,2.49,846
696,52040,2016-2017,Gwinn Area Community Schools,23.7,5,93.83,5,33.33,2.7,52485,1125,516,-3.72,846
697,52040,2017-2018,Gwinn Area Community Schools,19.0,5,91.08,5,0.0,1.43,52485,1125,516,-2.22,846
698,52040,2018-2019,Gwinn Area Community Schools,35.5,5,91.74,5,0.0,1.37,52485,1125,516,0.91,846
699,52040,2020-2021,Gwinn Area Community Schools,15.7,5,87.88,5,0.0,0.0,52485,1125,516,11.71,846
700,52090,2015-2016,Negaunee Public Schools,26.8,5,95.63,5,0.0,0.0,55357,1294,309,16.3,271
701,52090,2016-2017,Negaunee Public Schools,28.4,5,94.83,5,0.0,0.0,55357,1294,309,16.3,271
702,52090,2017-2018,Negaunee Public Schools,33.7,5,95.59,5,0.0,0.0,55357,1294,309,21.17,271
703,52090,2018-2019,Negaunee Public Schools,56.5,5,95.53,5,0.0,0.0,55357,1294,309,27.39,271
704,52090,2020-2021,Negaunee Public Schools,45.4,5,92.79,5,0.0,0.0,55357,1294,309,29.73,271
705,52170,2015-2016,Marquette Area Public Schools,33.9,5,93.76,5,0.0,1.0,48490,4954,1738,24.71,724
706,52170,2016-2017,Marquette Area Public Schools,36.2,5,93.77,5,0.0,1.49,48490,4954,1738,20.64,724
707,52170,2017-2018,Marquette Area Public Schools,25.5,5,93.01,5,0.0,0.0,48490,4954,1738,22.25,724
708,52170,2018-2019,Marquette Area Public Schools,57.3,5,92.97,5,0.0,0.3,48490,4954,1738,23.23,724
709,52170,2020-2021,Marquette Area Public Schools,51.3,5,97.73,5,0.0,0.43,48490,4954,1738,32.58,724
710,53040,2015-2016,Ludington Area School District,43.0,5,95.95,5,0.0,0.75,50599,1923,1056,8.28,870
711,53040,2016-2017,Ludington Area School District,36.4,5,95.92,5,0.0,0.0,50599,1923,1056,7.89,870
712,53040,2017-2018,Ludington Area School District,38.4,52,94.59,52,0.0,0.0,50599,1923,1056,7.22,870
713,53040,2018-2019,Ludington Area School District,42.4,60,94.72,60,0.0,0.0,50599,1923,1056,7.14,870
714,53040,2020-2021,Ludington Area School District,47.3,53,90.74,53,0.0,0.0,50599,1923,1056,6.77,870
715,54010,2015-2016,Big Rapids Public Schools,15.4,14,95.98,14,0.0,3.81,39300,1476,806,13.7,1102
716,54010,2016-2017,Big Rapids Public Schools,28.7,12,94.99,12,0.0,5.45,39300,1476,806,16.36,1102
717,54010,2017-2018,Big Rapids Public Schools,20.3,5,94.69,5,0.0,2.7,39300,1476,806,17.26,1102
718,54010,2018-2019,Big Rapids Public Schools,41.9,5,94.22,5,9.09,1.8,39300,1476,806,19.52,1102
719,54010,2020-2021,Big Rapids Public Schools,30.7,5,93.06,5,0.0,0.0,39300,1476,806,17.79,1102
720,54040,2015-2016,Morley Stanwood Community Schools,5.7,5,94.42,5,0.0,0.0,45517,638,309,12.5,681
721,54040,2016-2017,Morley Stanwood Community Schools,14.1,5,93.75,5,0.0,0.0,45517,638,309,16.43,681
722,54040,2017-2018,Morley Stanwood Community Schools,9.6,5,93.55,5,0.0,1.35,45517,638,309,16.12,681
723,54040,2018-2019,Morley Stanwood Community Schools,12.2,5,93.07,5,0.0,0.0,45517,638,309,17.39,681
724,54040,2020-2021,Morley Stanwood Community Schools,34.1,5,89.96,5,0.0,0.0,45517,638,309,20.94,681
725,56010,2015-2016,Midland Public Schools,45.05,93,96.76,93,0.0,0.0,62093,8855,4031,12.55,1799
726,56010,2016-2017,Midland Public Schools,52.5,79,96.43,79,3.7,1.24,62093,8855,4031,18.44,1799
727,56010,2017-2018,Midland Public Schools,55.8,65,96.20,65,0.0,0.0,62093,8855,4031,24.24,1799
728,56010,2018-2019,Midland Public Schools,66.25,62,96.25,62,3.7,0.0,62093,8855,4031,29.17,1799
729,56010,2020-2021,Midland Public Schools,51.7,58,95.36,58,3.7,0.84,62093,8855,4031,33.45,1799
