,districtcode,schoolyear,districtname,8th_math_percentmet,english_language_learners_enrollment,attendance,english_language_learners_enrollment,admin_min_effective_percentage,teacher_min_effective_percentage,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Estimate Total Bachelor's degree,Estimate Total Master's degree,fundbalanceas%ofexpenditure,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months"
109,19070,2020-2021,Fowler Public Schools,58.8,12,95.34,12,0.0,0.0,65156,245,88,17.82,83
110,19100,2015-2016,Bath Community Schools,20.8,5,95.25,5,0.0,0.0,66289,1399,536,13.99,160
111,19100,2016-2017,Bath Community Schools,24.1,5,94.96,5,0.0,1.47,66289,1399,536,11.9,160
112,19100,2017-2018,Bath Community Schools,36.7,5,93.99,5,0.0,1.33,66289,1399,536,13.84,160
113,19100,2018-2019,Bath Community Schools,36.6,5,93.75,5,0.0,1.49,66289,1399,536,13.71,160
114,19100,2020-2021,Bath Community Schools,26.5,5,94.77,5,0.0,0.0,66289,1399,536,12.85,160
115,19120,2015-2016,Ovid-Elsie Area Schools,38.1,12,95.64,12,0.0,1.15,54323,685,196,20.91,499
116,19120,2016-2017,Ovid-Elsie Area Schools,45.5,32,94.47,32,0.0,0.0,54323,685,196,23.91,499
117,19120,2017-2018,Ovid-Elsie Area Schools,50.0,32,93.51,32,0.0,0.0,54323,685,196,24.52,499
118,19120,2018-2019,Ovid-Elsie Area Schools,55.6,35,93.33,35,0.0,1.05,54323,685,196,25.33,499
119,19120,2020-2021,Ovid-Elsie Area Schools,40.0,24,96.25,24,0.0,0.0,54323,685,196,31.7,499
120,19140,2015-2016,St. Johns Public Schools,22.0,38,96.41,38,0.0,0.0,63232,2186,822,13.36,658
121,19140,2016-2017,St. Johns Public Schools,46.2,40,96.68,40,0.0,0.0,63232,2186,822,15.89,658
122,19140,2017-2018,St. Johns Public Schools,50.7,29,95.53,29,0.0,1.23,63232,2186,822,15.05,658
123,19140,2018-2019,St. Johns Public Schools,53.4,33,95.49,33,0.0,0.0,63232,2186,822,16.43,658
124,19140,2020-2021,St. Johns Public Schools,33.0,32,96.35,32,0.0,0.0,63232,2186,822,22.11,658
