ISD Code,ISD Name,District Code,District Name,County Code,County Name,Entity Type,School Level,Locale,Fiscal Year,Revenue,Expenditures,Fund Balance,Years in Deficit,Pupil FTE Count,Resident Pupils Leaving,Non-Resident Pupils Coming,Current Ratio,Current Ratio Quartile,Fund Balance Change,Fund Balance Change Quartile,Operating Margin,Operating Margin Quartile,Debt Service Coverage Ratio,Debt Service Coverage Ratio Quartile,Days Cash on Hand,Days Cash on Hand Quartile,Fund Balance as % of Revenue,Fund Balance as % of Revenue Quartile,Fund Balance as % of Expenditure,Fund Balance as % of Expenditure Quartile,Revenue/Expenditure Ratio,Revenue/Expenditure Ratio Quartile,Enrollment Trend,Enrollment Trend Quartile,Compensation Trend,Compensation Trend Quartile
"38","Jackson ISD","38000","Jackson ISD  - District created from ISD","38","Jackson","ISD District","Elem thru High School","Suburb: Small","2020","18859839.19","18804708.87","4850990.68","0.00","477.71",,"492.37","1.63","3","1.15","3","3.32","2","4.16","1","190.45","1.00","25.72","1","35.98","1","1","3","7.41","1","2.54","3"
"39","Kalamazoo RESA","39000","Kalamazoo RESA  - District created from ISD","39","Kalamazoo","ISD District","Elem thru High School","City: Small","2020","50200017.72","49641272.25","7557243.25","0.00","521.37",,"522.21","1.77","3","7.98","3","1.71","3","5.4","1","73.90","2.00","15.05","3","32.6","1","1.01","3","-1.96","3","16.09","4"
"41","Kent ISD","41000","Kent ISD  - District created from ISD","41","Kent","ISD District","Elem thru High School","City: Midsize","2020","45139521.43","45852680.02","3975951.79","0.00","748.25",,"751.56","1.41","4","-15.21","4","3.13","2",,,"48.73","3.00","8.81","4","15.69","3","0.98","4",,,"10.65","4"
"44","Lapeer ISD","44000","Lapeer ISD  - District created from ISD","44","Lapeer","ISD District","Elem thru High School","Rural: Distant","2020","6063961.86","5729981.28","1325177.30","0.00","85.85",,"85.70","1.91","3","33.69","1","5.51","1","8.21","2","120.06","1.00","21.85","2","30.61","1","1.06","1","-3.14","3","0.42","2"
"46","Lenawee ISD","46000","Lenawee ISD  - District created from ISD","46","Lenawee","ISD District","Elem thru High School","Rural: Fringe","2020","8708074.07","8431876.20","5401988.78","0.00","259.10",,"255.03","2.39","2","5.39","3","3.17","2",,,"333.55","1.00","62.03","1","88.43","1","1.03","2","0.09","2","0.79","2"
"14","Heritage Southwest Intermediate School District","14000","Heritage Southwest Intermediate School District  - District created from ISD","14","Cass","ISD District","Elem thru High School","Town: Fringe","2020","3588902.32","3544356.83","1942746.86","0.00","126.79",,"126.91","2.54","2","2.35","3","1.24","3",,,"278.13","1.00","54.13","1","65.55","1","1.01","3","-7.13","4","15.67","4"
"47","Livingston ESA","47000","Livingston ESA  - District created from ISD","47","Livingston","ISD District","Elem thru High School","Suburb: Midsize","2020","18009866.87","17690242.86","2205560.89","0.00","203.66",,"220.25","1.6","3","16.95","2","2.14","2","1.92","1","71.78","2.00","12.25","3","13.89","3","1.02","2","-9.26","4","-5.94","1"
"50","Macomb ISD","50000","Macomb ISD  - District created from ISD","50","Macomb","ISD District","Elem thru High School","Suburb: Large","2020","41338822.39","41169174.95","3696947.15","0.00","1484.14",,"1487.69","1.4","4","4.81","3","2.83","2","1.72","1","48.34","3.00","8.94","4","15.87","3","1","3","-7.56","4","1.18","2"
"51","Manistee ISD","51000","Manistee ISD  - District created from ISD","51","Manistee","ISD District","Elem thru High School","Rural: Fringe","2020","1135356.12","1043568.92","731964.57","0.00","66.66",,"65.66","1.52","3","14.34","2","8.7","1","3.91","1","633.56","1.00","64.47","1","74.13","1","1.09","1","9.28","1","4.4","3"
"52","Marquette-Alger RESA","52000","Marquette-Alger RESA  - District created from ISD","52","Marquette","ISD District","Elem thru High School","Town: Remote","2020","13093912.73","12983341.72","2245171.30","0.00","56.58",,"53.69","1.86","3","5.18","3","2.18","2",,,"83.39","2.00","17.15","2","19.84","2","1.01","3","11.2","1","1.98","2"
"53","West Shore Educational Service District","53000","West Shore Educational Service District  - District created from ISD","53","Mason","ISD District","Elem thru High School","Rural: Fringe","2020","6246714.82","5849563.63","2723770.09","0.00","131.40",,"131.70","1.76","3","17.07","2","6.36","1","2.66","1","52.32","3.00","43.6","1","59.46","1","1.07","1","0.59","2","0.03","2"
"54","Mecosta-Osceola ISD","54000","Mecosta-Osceola ISD  - District created from ISD","54","Mecosta","ISD District","Elem thru High School","Town: Distant","2020","4176039.39","4224801.52","2289192.68","0.00","222.48",,"232.78","2.41","2","-2.09","4","3.81","2",,,"252.08","1.00","54.82","1","67.18","1","0.99","4","-8.26","4","4.94","3"
