,districtcode,schoolyear,districtname,8th_math_percentmet,attendance,american_indian_enrollment,asian_enrollment,english_language_learners_enrollment,early_middle_college_enrollment,admin_ineffective_percentage,admin_min_effective_percentage,teacher_min_effective_percentage,fundbalanceas%ofexpenditure,Estimate Total,Estimate Total White alone,Estimate Total Black or African American alone,Estimate Total American Indian and Alaska Native alone,Estimate Total Asian alone,Estimate Total Native Hawaiian and Other Pacific Islander alone,Estimate Total Some other race alone,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Estimate Total Enrolled in school Enrolled in grade 1 to grade 4,Estimate Total Enrolled in school Enrolled in grade 5 to grade 8,Estimate Total Enrolled in school Enrolled in grade 9 to grade 12,Estimate Total Regular high school diploma,Estimate Total Bachelor's degree,Estimate Total Master's degree,Estimate Median age -- Total,Estimate Median age -- Male,Estimate Median age -- Female,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months",Estimate Total Family households
306,3080,2016-2017,Saugatuck Public Schools,62.9,94.83,7,4,5,0,0.0,0.0,0.0,14.19,4798,4481,25,114,73,0,36,82787,158,197,177,840,1014,604,53.9,53.6,54.4,72,1495
307,3080,2017-2018,Saugatuck Public Schools,62.7,94.02,5,4,5,0,0.0,0.0,1.59,12.43,4798,4481,25,114,73,0,36,82787,158,197,177,840,1014,604,53.9,53.6,54.4,72,1495
308,3080,2018-2019,Saugatuck Public Schools,57.9,93.97,5,5,5,6,0.0,0.0,0.0,11.53,4798,4481,25,114,73,0,36,82787,158,197,177,840,1014,604,53.9,53.6,54.4,72,1495
309,3080,2020-2021,Saugatuck Public Schools,50.0,92.87,3,7,5,4,0.0,0.0,1.27,13.99,4798,4481,25,114,73,0,36,82787,158,197,177,840,1014,604,53.9,53.6,54.4,72,1495
310,3100,2015-2016,Hamilton Community Schools,38.9,97.36,2,26,54,0,0.0,0.0,4.05,18.5,15210,14745,20,48,116,0,34,67826,875,968,960,3742,1560,594,39.0,37.7,40.5,226,4204
311,3100,2016-2017,Hamilton Community Schools,46.9,96.84,1,28,56,0,0.0,0.0,1.15,19.67,15210,14745,20,48,116,0,34,67826,875,968,960,3742,1560,594,39.0,37.7,40.5,226,4204
312,3100,2017-2018,Hamilton Community Schools,48.9,95.17,1,30,65,0,0.0,0.0,0.56,20.61,15210,14745,20,48,116,0,34,67826,875,968,960,3742,1560,594,39.0,37.7,40.5,226,4204
313,3100,2018-2019,Hamilton Community Schools,52.4,94.57,1,30,72,10,0.0,0.0,0.53,20.33,15210,14745,20,48,116,0,34,67826,875,968,960,3742,1560,594,39.0,37.7,40.5,226,4204
314,3100,2020-2021,Hamilton Community Schools,48.9,91.54,2,30,66,7,0.0,0.0,0.0,21.48,15210,14745,20,48,116,0,34,67826,875,968,960,3742,1560,594,39.0,37.7,40.5,226,4204
315,31010,2015-2016,Hancock Public Schools,34.0,95.87,1,0,5,0,0.0,0.0,0.0,4.52,6939,6559,18,22,96,0,18,43872,397,301,368,1242,850,419,39.1,36.1,41.0,368,1423
316,31010,2016-2017,Hancock Public Schools,26.5,98.37,1,2,5,0,0.0,0.0,3.92,4.39,6939,6559,18,22,96,0,18,43872,397,301,368,1242,850,419,39.1,36.1,41.0,368,1423
317,31010,2017-2018,Hancock Public Schools,29.9,89.93,1,2,5,0,0.0,0.0,0.0,6.08,6939,6559,18,22,96,0,18,43872,397,301,368,1242,850,419,39.1,36.1,41.0,368,1423
318,31010,2018-2019,Hancock Public Schools,51.8,94.00,1,3,5,1,0.0,0.0,2.27,7.99,6939,6559,18,22,96,0,18,43872,397,301,368,1242,850,419,39.1,36.1,41.0,368,1423
319,31010,2020-2021,Hancock Public Schools,52.9,94.30,2,2,5,11,0.0,0.0,0.0,12.06,6939,6559,18,22,96,0,18,43872,397,301,368,1242,850,419,39.1,36.1,41.0,368,1423
320,32060,2015-2016,Harbor Beach Community Schools,50.0,96.67,2,2,5,0,0.0,0.0,0.0,64.04,4436,4268,25,21,29,0,11,44054,206,193,289,1257,321,143,49.0,47.4,50.3,190,1242
321,32060,2016-2017,Harbor Beach Community Schools,41.9,96.24,3,2,5,0,0.0,0.0,0.0,67.84,4436,4268,25,21,29,0,11,44054,206,193,289,1257,321,143,49.0,47.4,50.3,190,1242
322,32060,2017-2018,Harbor Beach Community Schools,48.6,95.46,1,3,5,0,0.0,0.0,0.0,46.0,4436,4268,25,21,29,0,11,44054,206,193,289,1257,321,143,49.0,47.4,50.3,190,1242
323,32060,2018-2019,Harbor Beach Community Schools,58.1,95.49,1,3,5,0,0.0,0.0,0.0,35.85,4436,4268,25,21,29,0,11,44054,206,193,289,1257,321,143,49.0,47.4,50.3,190,1242
324,32060,2020-2021,Harbor Beach Community Schools,48.5,91.12,0,4,5,0,0.0,0.0,2.44,27.46,4436,4268,25,21,29,0,11,44054,206,193,289,1257,321,143,49.0,47.4,50.3,190,1242
325,33010,2015-2016,East Lansing School District,57.1,96.53,23,278,345,0,0.0,0.0,1.83,12.69,54370,40829,4040,145,6947,19,498,40170,815,748,792,1201,5362,4024,21.6,21.6,21.5,597,5779
326,33010,2016-2017,East Lansing School District,41.9,95.82,23,288,328,0,0.0,0.0,1.38,11.57,54370,40829,4040,145,6947,19,498,40170,815,748,792,1201,5362,4024,21.6,21.6,21.5,597,5779
327,33010,2017-2018,East Lansing School District,48.7,94.93,22,280,361,0,0.0,0.0,2.26,13.17,54370,40829,4040,145,6947,19,498,40170,815,748,792,1201,5362,4024,21.6,21.6,21.5,597,5779
328,33010,2018-2019,East Lansing School District,55.7,94.51,20,265,341,20,0.0,0.0,1.74,16.45,54370,40829,4040,145,6947,19,498,40170,815,748,792,1201,5362,4024,21.6,21.6,21.5,597,5779
329,33010,2020-2021,East Lansing School District,50.0,95.75,20,248,277,14,0.0,0.0,0.0,29.98,54370,40829,4040,145,6947,19,498,40170,815,748,792,1201,5362,4024,21.6,21.6,21.5,597,5779
330,33040,2015-2016,Dansville Schools,41.8,97.15,1,4,5,0,0.0,0.0,0.0,10.86,4907,4745,8,22,22,9,16,64785,236,277,304,1061,478,214,44.3,44.0,44.6,153,1428
331,33040,2016-2017,Dansville Schools,40.7,96.79,2,7,5,0,0.0,0.0,0.0,9.63,4907,4745,8,22,22,9,16,64785,236,277,304,1061,478,214,44.3,44.0,44.6,153,1428
332,33040,2017-2018,Dansville Schools,50.0,95.08,2,4,5,0,0.0,0.0,0.0,14.55,4907,4745,8,22,22,9,16,64785,236,277,304,1061,478,214,44.3,44.0,44.6,153,1428
333,33040,2018-2019,Dansville Schools,57.9,95.91,2,5,5,2,0.0,0.0,0.0,14.76,4907,4745,8,22,22,9,16,64785,236,277,304,1061,478,214,44.3,44.0,44.6,153,1428
334,33040,2020-2021,Dansville Schools,25.0,95.64,2,5,5,3,0.0,0.0,0.0,19.25,4907,4745,8,22,22,9,16,64785,236,277,304,1061,478,214,44.3,44.0,44.6,153,1428
335,33060,2015-2016,Haslett Public Schools,50.5,96.07,15,132,57,0,0.0,0.0,0.0,6.18,16856,15144,295,35,686,0,195,66826,528,1155,995,1652,2892,1881,42.2,41.2,44.1,315,4251
336,33060,2016-2017,Haslett Public Schools,58.3,95.67,14,129,80,0,0.0,0.0,0.0,6.93,16856,15144,295,35,686,0,195,66826,528,1155,995,1652,2892,1881,42.2,41.2,44.1,315,4251
337,33060,2017-2018,Haslett Public Schools,55.8,95.26,12,129,81,0,0.0,0.0,0.0,6.9,16856,15144,295,35,686,0,195,66826,528,1155,995,1652,2892,1881,42.2,41.2,44.1,315,4251
338,33060,2018-2019,Haslett Public Schools,66.7,94.95,10,108,106,10,0.0,0.0,0.0,6.86,16856,15144,295,35,686,0,195,66826,528,1155,995,1652,2892,1881,42.2,41.2,44.1,315,4251
339,33060,2020-2021,Haslett Public Schools,74.2,98.59,6,125,83,17,0.0,0.0,0.0,8.49,16856,15144,295,35,686,0,195,66826,528,1155,995,1652,2892,1881,42.2,41.2,44.1,315,4251
340,33100,2015-2016,Leslie Public Schools,30.9,95.61,7,3,5,0,0.0,0.0,1.15,4.87,7521,7215,41,3,0,3,43,63345,356,378,420,1625,565,217,40.0,41.0,39.5,426,1966
341,33100,2016-2017,Leslie Public Schools,27.9,95.11,4,1,5,0,0.0,0.0,1.09,5.12,7521,7215,41,3,0,3,43,63345,356,378,420,1625,565,217,40.0,41.0,39.5,426,1966
342,33100,2017-2018,Leslie Public Schools,26.1,94.89,2,2,5,0,0.0,0.0,0.83,6.22,7521,7215,41,3,0,3,43,63345,356,378,420,1625,565,217,40.0,41.0,39.5,426,1966
343,33100,2018-2019,Leslie Public Schools,32.7,94.76,1,3,5,5,0.0,0.0,0.0,4.5,7521,7215,41,3,0,3,43,63345,356,378,420,1625,565,217,40.0,41.0,39.5,426,1966
344,33100,2020-2021,Leslie Public Schools,31.7,96.30,1,5,5,4,0.0,0.0,0.0,5.89,7521,7215,41,3,0,3,43,63345,356,378,420,1625,565,217,40.0,41.0,39.5,426,1966
345,33170,2015-2016,Okemos Public Schools,68.0,95.60,12,937,188,0,0.0,0.0,1.43,7.99,26516,18133,1122,116,5523,0,68,82418,1135,1498,1265,1042,5051,3772,34.7,33.7,36.0,456,6173
346,33170,2016-2017,Okemos Public Schools,65.2,95.13,10,953,162,0,0.0,0.0,0.34,8.13,26516,18133,1122,116,5523,0,68,82418,1135,1498,1265,1042,5051,3772,34.7,33.7,36.0,456,6173
347,33170,2017-2018,Okemos Public Schools,64.0,95.32,11,1049,240,0,0.0,0.0,0.35,10.01,26516,18133,1122,116,5523,0,68,82418,1135,1498,1265,1042,5051,3772,34.7,33.7,36.0,456,6173
348,33170,2018-2019,Okemos Public Schools,71.1,95.04,6,1108,273,8,0.0,0.0,0.0,11.28,26516,18133,1122,116,5523,0,68,82418,1135,1498,1265,1042,5051,3772,34.7,33.7,36.0,456,6173
349,33170,2020-2021,Okemos Public Schools,69.2,99.44,10,1105,311,17,0.0,0.0,0.0,15.63,26516,18133,1122,116,5523,0,68,82418,1135,1498,1265,1042,5051,3772,34.7,33.7,36.0,456,6173
350,33215,2015-2016,Waverly Community Schools,22.7,95.60,14,132,53,0,0.0,0.0,0.0,12.5,20711,14656,3201,48,1027,12,724,58846,790,749,1141,3119,3351,1158,41.1,38.7,44.7,887,5424
351,33215,2016-2017,Waverly Community Schools,27.9,95.27,12,127,83,0,0.0,0.0,4.57,14.22,20711,14656,3201,48,1027,12,724,58846,790,749,1141,3119,3351,1158,41.1,38.7,44.7,887,5424
352,33215,2017-2018,Waverly Community Schools,18.8,93.13,11,148,121,0,0.0,0.0,2.73,12.19,20711,14656,3201,48,1027,12,724,58846,790,749,1141,3119,3351,1158,41.1,38.7,44.7,887,5424
353,33215,2018-2019,Waverly Community Schools,26.6,92.57,14,138,109,14,0.0,0.0,2.11,11.97,20711,14656,3201,48,1027,12,724,58846,790,749,1141,3119,3351,1158,41.1,38.7,44.7,887,5424
354,33215,2020-2021,Waverly Community Schools,33.3,92.06,11,141,119,20,0.0,0.0,0.0,22.1,20711,14656,3201,48,1027,12,724,58846,790,749,1141,3119,3351,1158,41.1,38.7,44.7,887,5424
355,33220,2015-2016,Webberville Community Schools,20.4,97.13,3,4,5,0,0.0,0.0,0.0,9.09,3992,3883,0,2,0,0,0,71146,266,154,175,931,349,130,37.3,35.8,38.9,47,1171
356,33220,2016-2017,Webberville Community Schools,10.6,96.13,3,5,5,0,0.0,0.0,0.0,7.18,3992,3883,0,2,0,0,0,71146,266,154,175,931,349,130,37.3,35.8,38.9,47,1171
357,33220,2017-2018,Webberville Community Schools,16.2,95.35,4,3,5,0,0.0,0.0,3.57,10.71,3992,3883,0,2,0,0,0,71146,266,154,175,931,349,130,37.3,35.8,38.9,47,1171
358,33220,2018-2019,Webberville Community Schools,40.0,93.71,3,3,5,4,0.0,0.0,0.0,14.91,3992,3883,0,2,0,0,0,71146,266,154,175,931,349,130,37.3,35.8,38.9,47,1171
