,districtcode,schoolyear,districtname,8th_math_percentmet,attendance,american_indian_enrollment,asian_enrollment,english_language_learners_enrollment,early_middle_college_enrollment,admin_ineffective_percentage,admin_min_effective_percentage,teacher_min_effective_percentage,fundbalanceas%ofexpenditure,Estimate Total,Estimate Total White alone,Estimate Total Black or African American alone,Estimate Total American Indian and Alaska Native alone,Estimate Total Asian alone,Estimate Total Native Hawaiian and Other Pacific Islander alone,Estimate Total Some other race alone,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Estimate Total Enrolled in school Enrolled in grade 1 to grade 4,Estimate Total Enrolled in school Enrolled in grade 5 to grade 8,Estimate Total Enrolled in school Enrolled in grade 9 to grade 12,Estimate Total Regular high school diploma,Estimate Total Bachelor's degree,Estimate Total Master's degree,Estimate Median age -- Total,Estimate Median age -- Male,Estimate Median age -- Female,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months",Estimate Total Family households
359,33220,2020-2021,Webberville Community Schools,10.0,94.93,2,2,5,5,0.0,0.0,0.94,23.42,3992,3883,0,2,0,0,0,71146,266,154,175,931,349,130,37.3,35.8,38.9,47,1171
360,33230,2015-2016,Williamston Community Schools,55.2,97.40,9,26,5,0,0.0,0.0,0.0,1.86,10640,10067,52,0,286,0,35,96692,523,505,518,1156,2030,1069,43.7,45.8,42.6,71,2907
361,33230,2016-2017,Williamston Community Schools,57.4,96.62,6,20,5,0,0.0,0.0,0.0,1.88,10640,10067,52,0,286,0,35,96692,523,505,518,1156,2030,1069,43.7,45.8,42.6,71,2907
362,33230,2017-2018,Williamston Community Schools,59.3,95.77,6,20,11,0,0.0,0.0,0.0,3.95,10640,10067,52,0,286,0,35,96692,523,505,518,1156,2030,1069,43.7,45.8,42.6,71,2907
363,33230,2018-2019,Williamston Community Schools,73.9,95.69,5,17,16,9,0.0,0.0,0.48,7.23,10640,10067,52,0,286,0,35,96692,523,505,518,1156,2030,1069,43.7,45.8,42.6,71,2907
364,33230,2020-2021,Williamston Community Schools,58.3,98.21,7,13,11,12,0.0,0.0,0.0,12.55,10640,10067,52,0,286,0,35,96692,523,505,518,1156,2030,1069,43.7,45.8,42.6,71,2907
370,34080,2015-2016,Belding Area School District,15.4,95.17,3,9,109,0,0.0,0.0,0.95,13.17,12254,11836,21,5,13,0,74,50362,736,573,721,2662,794,309,39.2,38.3,40.2,730,3192
371,34080,2016-2017,Belding Area School District,9.3,94.74,1,8,113,0,0.0,0.0,2.63,10.36,12254,11836,21,5,13,0,74,50362,736,573,721,2662,794,309,39.2,38.3,40.2,730,3192
372,34080,2017-2018,Belding Area School District,24.3,94.68,0,9,126,0,0.0,0.0,0.0,12.14,12254,11836,21,5,13,0,74,50362,736,573,721,2662,794,309,39.2,38.3,40.2,730,3192
373,34080,2018-2019,Belding Area School District,25.3,94.93,1,19,110,4,0.0,0.0,1.59,16.82,12254,11836,21,5,13,0,74,50362,736,573,721,2662,794,309,39.2,38.3,40.2,730,3192
374,34080,2020-2021,Belding Area School District,25.3,94.96,3,16,88,9,0.0,0.0,0.0,19.79,12254,11836,21,5,13,0,74,50362,736,573,721,2662,794,309,39.2,38.3,40.2,730,3192
375,34090,2015-2016,Lakewood Public Schools,39.5,94.63,1,7,18,0,0.0,0.0,1.94,10.83,13491,12799,154,39,62,0,236,58205,794,757,786,3240,960,382,40.1,39.2,40.8,860,3691
376,34090,2016-2017,Lakewood Public Schools,51.5,94.50,0,6,17,0,0.0,0.0,0.0,15.56,13491,12799,154,39,62,0,236,58205,794,757,786,3240,960,382,40.1,39.2,40.8,860,3691
377,34090,2017-2018,Lakewood Public Schools,44.9,93.65,1,8,25,0,0.0,0.0,0.0,17.23,13491,12799,154,39,62,0,236,58205,794,757,786,3240,960,382,40.1,39.2,40.8,860,3691
378,34090,2018-2019,Lakewood Public Schools,52.8,92.57,0,6,27,6,0.0,0.0,0.76,16.88,13491,12799,154,39,62,0,236,58205,794,757,786,3240,960,382,40.1,39.2,40.8,860,3691
379,34090,2020-2021,Lakewood Public Schools,43.1,90.36,0,8,21,3,0.0,0.0,0.0,17.44,13491,12799,154,39,62,0,236,58205,794,757,786,3240,960,382,40.1,39.2,40.8,860,3691
380,36025,2015-2016,West Iron County Public Schools,8.3,93.33,13,0,5,0,0.0,0.0,0.0,25.61,6785,6455,40,157,37,0,7,38378,241,242,226,2175,625,286,53.7,52.9,55.0,303,1792
381,36025,2016-2017,West Iron County Public Schools,20.8,93.65,6,0,5,0,0.0,0.0,0.0,29.16,6785,6455,40,157,37,0,7,38378,241,242,226,2175,625,286,53.7,52.9,55.0,303,1792
382,36025,2017-2018,West Iron County Public Schools,11.1,93.18,10,0,5,0,0.0,0.0,1.03,29.44,6785,6455,40,157,37,0,7,38378,241,242,226,2175,625,286,53.7,52.9,55.0,303,1792
383,36025,2018-2019,West Iron County Public Schools,26.7,93.21,7,0,5,5,0.0,0.0,0.88,32.55,6785,6455,40,157,37,0,7,38378,241,242,226,2175,625,286,53.7,52.9,55.0,303,1792
384,36025,2020-2021,West Iron County Public Schools,28.6,93.08,7,1,5,8,0.0,0.0,0.0,33.34,6785,6455,40,157,37,0,7,38378,241,242,226,2175,625,286,53.7,52.9,55.0,303,1792
385,38010,2015-2016,Western School District,47.1,96.22,8,32,15,0,0.0,0.0,0.0,12.19,13259,12654,171,36,56,8,70,61306,652,926,884,2234,1560,487,34.7,34.2,35.3,622,3219
386,38010,2016-2017,Western School District,44.5,97.11,11,29,14,0,0.0,0.0,0.61,12.15,13259,12654,171,36,56,8,70,61306,652,926,884,2234,1560,487,34.7,34.2,35.3,622,3219
387,38010,2017-2018,Western School District,39.5,94.79,11,30,22,0,0.0,0.0,0.0,13.99,13259,12654,171,36,56,8,70,61306,652,926,884,2234,1560,487,34.7,34.2,35.3,622,3219
388,38010,2018-2019,Western School District,47.8,94.74,10,30,21,48,0.0,0.0,0.0,14.79,13259,12654,171,36,56,8,70,61306,652,926,884,2234,1560,487,34.7,34.2,35.3,622,3219
