SchoolDistrict,Estimate Total,Estimate Total White alone,Estimate Total Black or African American alone,Estimate Total American Indian and Alaska Native alone,Estimate Total Asian alone,Estimate Total Native Hawaiian and Other Pacific Islander alone,Estimate Total Some other race alone,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Estimate Total Enrolled in school Enrolled in grade 1 to grade 4,Estimate Total Enrolled in school Enrolled in grade 5 to grade 8,Estimate Total Enrolled in school Enrolled in grade 9 to grade 12,Estimate Total Regular high school diploma,Estimate Total Bachelor's degree,Estimate Total Master's degree,Estimate Median age -- Total,Estimate Median age -- Male,Estimate Median age -- Female,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months",Estimate Total Family households
Frankfort-Elberta Area Schools,3427,3382,10,4,10,0,0,54531,50,134,141,749,693,342,60.9,58.3,62.7,79,935
Fraser Public Schools,28344,24214,2848,60,424,0,52,54001,1054,1395,1261,5783,2794,1230,44.6,41.5,46.9,956,7573
Freeland Community School District,12147,11030,577,58,140,0,9,83731,718,661,700,1662,1674,680,40.4,37.6,43.5,167,3156
Kelloggsville Public Schools,13362,8924,1733,49,907,23,986,43877,781,610,594,2852,1103,252,35.3,33.7,36.1,1261,3219
Kent City Community Schools,8685,8305,130,7,20,0,127,68870,501,536,425,1773,645,153,34.0,34.8,33.2,661,2291
Kentwood Public Schools,67953,43896,14066,189,5874,22,915,54842,3500,3240,4286,10571,9390,3280,32.9,32.3,33.8,4382,16612
Kingsley Area Schools,7652,7279,16,86,78,0,56,54688,387,431,706,1238,607,228,40.0,36.8,42.9,602,1971
Kingston Community School District,3204,3007,79,23,0,4,8,45052,157,159,167,938,164,89,44.5,42.4,46.3,163,913
Laingsburg Community School District,6257,6101,47,7,16,0,16,73917,261,295,301,1100,946,262,43.1,42.3,45.2,105,1804
Lake City Area School District,8363,7960,57,77,21,0,9,42841,407,411,409,2103,535,208,45.6,45.9,45.2,636,2370
Lake Fenton Community Schools,11316,11032,44,27,78,6,7,74630,355,514,595,2025,1967,693,46.5,45.1,47.6,196,3189
Lake Linden-Hubbell School District,3641,3492,16,5,42,7,2,52188,124,190,222,808,487,209,45.4,43.3,47.3,212,949
Lake Orion Community Schools,45081,41296,1179,80,1316,8,358,93540,2675,2549,3292,5019,8229,4621,40.2,39.3,41.2,758,12341
Lakeshore School District,17791,16523,391,10,482,0,52,66545,1016,907,914,2507,2952,1547,42.9,42.3,44.0,468,5166
Lakeview School District,22642,18499,1394,131,1466,20,206,56134,1198,1014,1235,4106,3102,1234,39.4,38.7,40.1,1112,5823
Lakeview Public Schools,19895,18681,671,43,73,0,47,60997,754,915,795,4160,2480,881,45.3,42.3,48.6,523,5159
Lakeview Community Schools,10152,9673,43,170,33,0,34,44419,551,561,485,2337,649,233,39.5,36.6,43.2,588,2739
Lakeville Community Schools,11794,11341,21,96,8,4,27,56285,451,599,667,2714,769,432,46.3,46.3,46.2,747,3360
Lakewood Public Schools,13491,12799,154,39,62,0,236,58205,794,757,786,3240,960,382,40.1,39.2,40.8,860,3691
Lamphere Public Schools,17244,14123,1387,61,991,0,219,54203,654,754,674,3466,1861,675,39.5,37.5,40.7,1050,4243
Anchor Bay School District,35288,32776,1011,135,587,20,52,76075,1842,2114,2308,5788,4099,1982,42.1,41.0,43.2,977,9625
Ann Arbor Public Schools,172825,121276,12530,636,29623,89,1153,70232,5775,5975,6033,6943,30393,25961,29.7,28.7,31.2,2849,34391
Arenac Eastern School District,2149,2060,4,48,0,0,2,39674,79,81,75,647,58,24,45.9,47.3,45.3,192,600
Armada Area Schools,8729,8571,9,16,11,0,11,71433,346,425,582,1928,786,319,46.1,44.3,46.9,144,2492
Ashley Community Schools,2020,1881,12,9,47,0,5,44613,85,135,114,584,81,31,43.0,41.5,43.8,140,529
Athens Area Schools,4869,4755,37,47,3,0,0,56597,295,271,259,1201,416,105,41.4,42.9,39.9,341,1399
Atherton Community Schools,6959,5787,768,0,62,0,18,41942,285,520,432,1671,523,178,41.3,36.6,42.8,564,1775
Atlanta Community Schools,3514,3344,14,33,0,0,6,39792,129,131,93,1040,196,92,57.2,56.3,57.7,225,1013
Au Gres-Sims School District,3226,3150,6,2,16,0,0,39715,97,104,123,944,255,125,57.4,57.1,58.1,135,952
Avondale School District,27796,20550,2462,116,3466,0,244,81497,1164,1132,1443,3454,5314,3272,41.3,38.7,43.5,617,7278
Baldwin Community Schools,7733,6267,991,101,2,11,37,31316,209,187,285,2094,418,180,55.6,55.5,55.8,542,1831
Bangor Public Schools,7624,5773,409,186,49,0,540,41722,367,431,570,1546,366,143,40.6,39.5,41.9,857,1926
Bangor Township Schools,14165,13339,263,22,47,0,0,45257,525,770,631,3494,1043,575,45.4,40.5,49.1,1281,3810
Baraga Area Schools,3879,2373,800,407,30,2,16,45434,145,108,149,807,209,63,38.0,37.2,40.4,170,725
Bark River-Harris School District,3325,2610,2,496,48,0,0,56250,175,184,203,722,246,72,39.6,40.0,38.7,183,925
Bath Community Schools,7824,7184,253,7,159,0,9,66289,241,190,328,1119,1399,536,40.7,39.6,43.7,160,2056
Bay City School District,69042,65195,1315,326,491,0,276,46509,3559,3222,3435,14265,6756,2262,42.4,40.8,44.2,4372,17747
Beal City Public Schools,2707,2614,4,5,8,0,44,58781,169,107,139,777,277,93,46.1,46.6,45.8,83,759
Bear Lake School District,1959,1859,4,43,2,0,18,46932,54,114,146,505,224,130,50.9,49.4,52.8,113,484
Beaver Island Community School,562,536,0,20,0,0,6,56500,11,24,22,114,82,59,61.9,63.3,60.3,11,173
Beaverton Rural Schools,10098,9879,2,64,2,0,3,45059,359,433,598,2546,596,299,48.3,47.3,49.6,718,2765
Bedford Public Schools,31507,30341,171,44,266,0,25,68279,1484,1648,1631,6608,3592,1551,44.0,41.6,45.7,987,8607
Beecher Community School District,8741,2555,5148,50,12,0,33,27350,582,542,491,1454,314,167,31.7,30.0,34.5,1677,2067
Belding Area School District,12254,11836,21,5,13,0,74,50362,736,573,721,2662,794,309,39.2,38.3,40.2,730,3192
Bellaire Public Schools,3686,3592,19,27,11,0,0,51886,114,125,137,756,656,252,55.2,53.2,55.8,97,1127
Bellevue Community Schools,5773,5507,12,32,2,0,39,54294,259,296,378,1428,365,151,42.9,42.1,43.9,311,1676
Bendle Public Schools,5807,5496,107,8,22,0,0,32975,301,331,269,1200,257,39,37.4,34.4,40.9,629,1411
Ludington Area School District,16279,15521,93,106,121,0,89,50599,735,794,729,3421,1923,1056,47.4,45.2,48.9,870,4467
Mackinac Island Public Schools,960,616,174,138,19,0,0,51141,16,38,85,116,102,125,43.2,30.6,48.7,1,156
Mackinaw City Public Schools,1256,1040,59,24,7,0,6,41667,28,52,111,244,126,89,50.6,49.4,52.3,48,322
Manistique Area Schools,7140,6233,41,475,28,0,5,40280,256,304,327,1959,610,188,51.0,50.1,52.0,515,1888
Manton Consolidated Schools,5569,5342,42,56,8,6,14,43172,230,404,373,1219,320,93,37.6,37.5,37.8,490,1400
Maple Valley Schools,8092,7803,5,22,2,4,27,51408,533,488,353,1901,427,149,41.9,39.7,44.0,663,2246
Marcellus Community Schools,4909,4748,36,3,11,0,31,56385,216,230,238,1066,452,171,46.3,46.0,48.2,316,1407
Marion Public Schools,3986,3858,11,49,14,0,1,37432,170,198,167,1097,220,94,46.7,45.7,48.0,341,1082
Lake Shore Public Schools,22792,21439,619,21,146,25,51,58350,979,1005,824,4780,2288,931,44.1,43.0,45.8,970,6157
St. Johns Public Schools,19919,19234,162,42,105,0,32,63232,1113,955,1081,3877,2186,822,42.2,40.3,43.6,658,5365
Alpena Public Schools,30098,29173,150,157,155,20,31,43252,1110,1292,1544,6297,2581,1164,48.7,47.0,49.8,1488,8324
Allendale Public School District,24558,21167,942,142,400,0,999,52111,1013,947,957,2148,2313,717,21.3,21.6,21.2,692,3901
Alma Public Schools,14741,14121,313,74,29,0,57,37706,576,624,601,3032,961,635,37.2,35.7,41.1,859,3611
Almont Community Schools,8321,8042,2,17,214,0,0,68462,277,457,580,1771,846,468,44.8,43.6,46.0,240,2322
North Muskegon Public Schools,3789,3460,49,14,14,0,0,63341,183,259,186,308,879,286,43.7,39.7,46.5,51,1011
Northport Public School District,2170,1980,3,56,0,0,12,51518,77,90,41,282,456,289,57.8,57.8,57.8,149,667
Northview Public School District,16331,14965,567,0,231,0,56,62476,827,679,947,2883,2854,962,41.9,37.6,46.2,704,4376
Northville Public Schools,38811,30796,697,140,6021,0,317,126750,2054,2546,2595,2466,9243,6670,44.1,42.7,44.7,388,11016
Northwest School District,25894,21688,2610,140,393,0,70,51519,928,644,1190,4511,2274,775,40.1,39.1,42.4,1193,5669
Norway-Vulcan Area Schools,5338,5152,4,16,40,0,5,51714,151,100,263,1302,907,246,50.6,50.2,51.4,141,1531
Novi Community School District,34878,21027,2325,136,10146,30,471,101266,1730,2090,2480,2824,7715,5304,39.3,38.1,40.6,708,9386
Oak Park City School District,23684,4392,17771,10,306,0,72,46193,1267,994,1446,3650,2766,1000,39.1,36.9,40.7,1679,5496
Oakridge Public Schools,10107,9471,304,46,35,0,21,48838,585,654,668,2515,334,174,37.1,37.4,36.1,820,2651
Okemos Public Schools,26516,18133,1122,116,5523,0,68,82418,1135,1498,1265,1042,5051,3772,34.7,33.7,36.0,456,6173
Olivet Community Schools,6772,6430,160,8,8,0,64,58667,246,398,439,1333,461,246,37.6,34.5,39.2,356,1647
Onaway Area Community School District,5113,4938,20,9,14,0,18,43861,184,197,282,1495,308,123,54.0,53.5,54.7,214,1458
Onekama Consolidated Schools,3229,3036,98,13,5,0,2,57424,81,143,146,644,512,164,55.5,53.5,57.0,25,916
Onsted Community Schools,9320,8935,83,51,35,0,40,66667,366,591,453,2374,1116,376,50.1,49.5,50.7,319,2835
Ontonagon Area Schools,3807,3660,31,18,4,4,5,39605,104,145,154,1085,403,133,57.2,57.1,57.5,111,1065
Orchard View Schools,16631,12948,2660,142,48,4,114,43714,622,503,890,3093,874,198,37.6,37.5,39.3,1289,3491
Dollar Bay-Tamarack City Area Schools,1740,1698,14,0,16,0,9,54850,135,86,107,412,185,97,35.8,35.9,35.7,27,430
Oscoda Area Schools,12301,11722,95,101,127,0,25,41777,547,421,516,2927,1002,389,52.9,53.3,52.3,815,3373
Otsego Public Schools,14655,13921,111,136,114,0,0,57440,715,765,698,3262,1306,792,42.4,41.4,44.6,451,4016
Ovid-Elsie Area Schools,9503,9084,71,14,40,0,32,54323,567,432,619,2403,685,196,41.8,41.4,42.1,499,2529
Owendale-Gagetown Area Schools,1687,1602,24,3,2,0,6,46442,82,86,72,572,96,24,41.5,40.6,42.0,163,483
Owosso Public Schools,24094,23294,131,44,49,18,72,45664,1469,1127,1131,5149,1975,674,38.5,37.5,40.1,1826,6483
Mason County Eastern District,4611,4329,68,47,8,0,29,41853,178,275,245,1153,347,106,45.3,45.1,45.7,256,1208
Tri County Area Schools,13396,12915,40,38,42,14,85,55319,740,677,826,3586,899,322,39.2,39.4,39.0,571,3661
Troy School District,67365,43703,2762,323,18411,56,341,101533,3079,3632,4416,5513,14485,10260,41.0,38.9,42.6,780,18474
Ubly Community Schools,3774,3755,5,0,3,0,0,53936,157,157,209,1264,205,91,47.1,47.3,46.9,140,1110
Union City Community Schools,5908,5760,2,19,26,0,15,49107,319,291,266,1663,319,113,42.3,42.5,42.3,453,1635
Unionville-Sebewaing Area School District,5397,5229,32,6,8,0,41,53981,194,252,255,1689,374,146,47.5,46.4,49.0,175,1603
Buckley Community School District,2895,2801,3,5,15,18,15,56333,231,115,132,582,193,58,37.0,37.3,36.8,182,783
Burt Township School District,385,374,0,6,3,0,0,26667,3,0,16,115,49,26,65.9,70.2,63.2,6,110
Romeo Community Schools,38020,35700,866,6,328,0,267,86409,1577,2240,2265,6251,5018,2877,44.7,44.5,45.0,856,10539
Romulus Community Schools,24289,11354,11618,5,236,0,289,45849,1701,1516,1400,5085,1629,643,37.1,34.4,39.1,2853,5852
Roseville Community Schools,43833,32857,8293,334,683,5,463,44156,1767,2112,2282,9636,2771,907,38.9,37.2,40.8,3686,10781
Bullock Creek School District,9245,8943,40,12,32,5,67,58547,488,437,522,2194,1002,310,44.1,43.0,45.4,552,2739
Burr Oak Community School District,1549,1452,5,2,0,0,37,50833,108,97,83,329,65,33,38.6,38.2,39.4,87,440
Byron Area Schools,6234,6090,0,59,16,0,2,68993,247,210,527,1564,523,230,45.1,42.0,46.9,342,1854
Byron Center Public Schools,23986,21786,387,133,709,0,309,70404,1207,1720,1511,3945,3715,1447,39.1,38.8,39.5,560,6605
Gwinn Area Community Schools,10321,9554,61,129,58,0,33,52485,466,482,639,2475,1125,516,44.5,44.7,44.1,846,2860
Fowler Public Schools,2734,2654,12,0,11,0,12,65156,154,147,251,694,245,88,34.6,33.0,36.6,83,693
Bridgman Public Schools,5326,5117,79,0,71,0,0,73333,162,199,268,1080,804,367,51.0,50.1,51.1,87,1564
Brighton Area Schools,37786,36279,304,166,430,0,198,90992,1588,1786,2333,4950,7958,3593,45.5,44.5,46.3,703,10652
Brimley Area Schools,3516,2034,33,1096,38,6,3,55038,205,124,174,622,304,166,41.7,40.9,42.4,110,941
Madison Public Schools,12706,10421,1391,61,395,0,54,40793,456,558,552,2579,1502,504,35.3,35.5,35.0,843,2930
Madison School District,7384,5858,1049,84,22,0,112,43521,373,272,380,1553,265,91,37.6,37.2,41.4,631,1253
Mancelona Public Schools,6644,6364,33,45,24,0,14,43320,340,296,368,1675,433,233,44.0,43.5,45.6,476,1781
Manchester Community Schools,7465,7254,73,7,32,0,7,75596,240,420,366,1178,1248,559,48.6,49.4,47.8,74,2064
Manistee Area Schools,13276,11662,532,279,103,14,52,46418,483,533,757,2698,1198,544,46.2,44.1,48.8,590,3045
Fremont Public School District,13918,12940,155,143,74,0,347,53137,873,763,824,2978,1214,535,40.6,38.7,42.1,840,3743
